,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.075,267.87,65.57,17.15,41.36,0.0,0.0,0.1,0.24,3.77,9.74,15.19,17.48,17.0,14.14,12.13,7.55,2.48,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.081,269.59,70.41,11.9,41.16,0.0,0.0,0.0,0.33,4.01,9.74,15.38,17.0,16.81,13.66,15.28,6.92,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.09,271.62,74.62,7.36,40.99,0.0,0.0,0.0,0.24,3.15,9.93,14.8,16.62,17.62,13.94,20.77,2.82,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.1,274.04,79.1,2.9,41.0,0.0,0.0,0.0,0.43,3.01,9.07,13.85,17.48,17.34,13.42,24.79,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.115,276.66,83.94,0.72,42.33,0.0,0.0,0.0,0.29,1.53,5.49,11.89,18.0,17.43,13.18,32.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.13699999999999998,278.9,90.51,0.45,45.48,0.0,0.0,0.0,0.0,0.24,1.67,5.59,11.65,17.72,16.95,46.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.157,281.02,93.65,0.33,46.99,0.0,0.0,0.0,0.0,0.05,0.81,2.39,7.74,14.47,18.1,56.3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.17600000000000002,283.37,95.18,0.31,47.75,0.0,0.0,0.0,0.0,0.0,0.53,1.53,5.54,11.8,16.86,63.66,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.198,285.79,97.03,0.19,48.61,0.0,0.0,0.0,0.0,0.0,0.29,0.81,3.3,7.83,12.85,74.88,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.215,286.88,97.7,1.11,49.41,0.0,0.0,0.0,0.0,0.0,0.1,0.62,2.29,5.54,10.79,79.75,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.231,288.9,97.77,1.7,49.73,0.0,0.0,0.0,0.0,0.0,0.05,0.67,2.01,4.87,10.79,79.37,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.23800000000000002,290.41,95.5,3.71,49.6,0.0,0.0,0.0,0.0,0.0,0.19,1.34,3.77,8.17,15.81,64.28,5.97,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.244,291.16,89.19,8.5,48.84,0.0,0.0,0.0,0.0,0.05,0.48,2.39,6.92,16.19,20.15,39.35,12.89,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
