,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.08199999999999999,270.84,74.87,5.8,40.34,0.0,0.0,0.21,2.09,5.42,9.82,12.68,14.9,16.26,13.91,20.83,3.76,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.086,272.0,77.99,4.29,41.14,0.0,0.0,0.21,1.24,4.44,9.01,12.8,13.27,16.77,14.77,25.22,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.09300000000000001,273.5,80.18,2.19,41.18,0.0,0.0,0.09,0.94,3.24,8.62,12.42,15.36,17.71,15.62,25.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.102,275.52,81.9,0.62,41.26,0.0,0.0,0.0,0.51,2.77,7.68,13.15,16.99,17.76,16.05,25.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.11199999999999999,277.59,82.16,0.14,41.15,0.0,0.0,0.0,0.09,1.88,7.47,13.7,19.85,19.42,14.13,23.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.124,279.02,84.09,0.07,42.08,0.0,0.0,0.0,0.0,0.55,4.35,11.82,21.21,22.66,15.92,23.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.13699999999999998,280.5,85.78,0.11,42.95,0.0,0.0,0.0,0.0,0.09,2.09,10.29,19.29,25.86,18.95,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.151,282.38,86.38,0.25,43.31,0.0,0.0,0.0,0.0,0.04,1.66,8.49,19.33,25.1,23.0,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.168,284.42,88.24,0.2,44.22,0.0,0.0,0.0,0.0,0.0,1.07,6.4,16.56,24.93,23.43,27.57,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.183,285.36,88.88,0.71,44.8,0.0,0.0,0.0,0.0,0.0,0.68,5.55,15.02,23.6,25.61,29.11,0.38,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.2,288.08,89.42,0.44,44.93,0.0,0.0,0.0,0.0,0.04,0.64,5.34,14.43,22.58,25.86,30.73,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.212,289.63,84.42,1.03,42.73,0.0,0.0,0.0,0.0,0.13,2.82,8.96,21.51,25.91,20.44,19.63,0.51,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
