,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.09699999999999999,270.23,67.78,6.91,37.35,0.0,0.0,0.65,2.61,6.47,11.81,17.57,21.27,16.43,12.13,10.23,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.105,271.47,75.62,2.31,38.97,0.0,0.0,0.98,2.88,5.82,8.92,12.57,17.36,18.39,16.59,16.43,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.126,273.24,84.36,0.35,42.36,0.0,0.0,0.16,1.25,3.21,5.88,9.14,12.35,19.48,17.25,31.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.15,275.41,88.13,0.02,44.08,0.0,0.0,0.05,0.27,1.2,4.08,7.78,11.59,17.85,18.77,38.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.165,277.09,86.81,0.02,43.41,0.0,0.0,0.0,0.05,1.52,4.3,8.49,14.04,19.48,18.99,33.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.177,278.06,85.26,0.05,42.65,0.0,0.0,0.0,0.05,1.58,5.11,9.3,17.68,20.78,17.36,28.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.18899999999999997,279.04,85.71,0.14,42.93,0.0,0.0,0.0,0.05,0.71,4.52,8.65,18.5,21.27,18.77,27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.19899999999999998,280.12,85.18,0.3,42.74,0.0,0.0,0.0,0.0,0.6,4.24,9.41,18.72,23.01,18.77,25.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.21,281.78,85.1,0.38,42.74,0.0,0.0,0.0,0.0,0.49,3.26,9.25,19.8,25.19,17.14,24.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.226,283.79,86.21,0.38,43.29,0.0,0.0,0.0,0.0,0.16,2.34,7.89,20.24,24.76,18.44,26.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.245,286.53,87.95,0.09,44.02,0.0,0.0,0.0,0.0,0.0,1.47,6.31,17.74,24.86,19.37,30.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.26,288.02,87.45,0.17,43.81,0.0,0.0,0.0,0.0,0.0,1.69,7.51,18.34,23.39,20.24,28.73,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.276,288.89,85.57,0.85,43.21,0.0,0.0,0.0,0.0,0.27,2.29,9.47,20.13,23.29,19.59,24.05,0.76,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.294,289.22,83.72,4.99,44.36,0.0,0.0,0.0,0.05,0.33,2.29,8.6,20.62,21.11,18.82,19.86,5.22,2.12,0.6,0.38,0.0,0.0,0.0,0.0,0.0,0.0
14,1990,16.0,0.312,289.22,79.72,18.46,49.09,0.0,0.0,0.0,0.05,0.49,1.96,7.24,12.95,15.34,16.05,15.51,13.82,9.09,4.57,1.9,0.6,0.33,0.0,0.11,0.0,0.0
15,1990,17.0,0.34299999999999997,289.72,79.82,32.98,56.4,0.0,0.0,0.0,0.0,0.22,0.87,2.77,6.47,9.58,10.99,13.28,15.78,14.47,12.02,8.22,2.88,1.47,0.6,0.16,0.16,0.05
16,1990,18.0,0.37,290.51,77.59,42.87,60.23,0.0,0.0,0.0,0.05,0.11,0.87,2.18,4.35,6.8,8.49,12.3,12.35,14.09,13.55,10.72,8.27,3.75,1.58,0.33,0.11,0.11
17,1990,19.0,0.391,291.17,74.06,51.35,62.7,0.0,0.0,0.0,0.05,0.22,0.82,1.96,3.75,4.9,7.67,9.58,11.43,13.76,13.44,11.75,9.9,6.04,3.43,0.98,0.22,0.11
18,1990,20.0,0.40399999999999997,291.53,68.21,59.45,63.83,0.0,0.0,0.0,0.0,0.38,1.03,1.69,3.75,3.92,6.75,8.98,11.86,13.87,11.81,11.97,9.63,7.73,4.41,1.74,0.49,0.0
19,1990,21.0,0.409,291.65,59.76,66.49,63.13,0.0,0.0,0.0,0.11,0.49,1.36,1.41,3.48,5.01,7.02,9.96,11.48,12.89,12.95,10.88,10.45,5.55,4.03,2.23,0.54,0.16
20,1990,22.0,0.41100000000000003,291.96,51.87,65.58,58.72,0.0,0.0,0.0,0.49,0.87,1.31,2.83,5.06,6.75,9.52,12.68,14.09,12.46,10.88,9.14,6.64,4.13,1.85,1.09,0.11,0.11
21,1990,23.0,0.413,292.72,46.96,56.91,51.93,0.0,0.11,0.44,0.87,1.47,2.77,5.17,8.81,11.04,12.95,15.61,12.68,10.94,7.89,4.62,2.61,1.09,0.54,0.27,0.0,0.11
22,1990,24.0,0.42200000000000004,293.74,45.97,45.01,45.49,0.16,0.16,1.09,1.58,3.05,5.01,10.5,12.08,15.13,15.51,12.24,10.07,6.58,2.88,2.29,0.82,0.6,0.11,0.11,0.05,0.0
23,1990,25.0,0.425,294.74,45.17,33.79,39.48,0.22,0.65,1.58,3.75,5.93,10.66,13.49,15.67,15.89,13.22,8.65,4.3,2.99,1.63,0.82,0.22,0.22,0.11,0.0,0.0,0.0
24,1990,26.0,0.418,294.96,40.98,32.27,36.62,0.27,1.09,2.18,5.66,7.67,12.95,14.53,16.81,14.91,11.32,5.39,3.59,2.23,0.87,0.38,0.11,0.05,0.0,0.0,0.0,0.0
