,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.06,265.53,66.4,15.77,41.08,0.0,0.0,0.16,1.05,3.73,10.07,15.24,17.57,15.51,11.7,16.83,5.36,2.14,0.51,0.12,0.04,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.066,266.96,71.23,11.32,41.28,0.0,0.04,0.12,1.13,3.81,8.86,14.03,16.48,16.87,12.01,20.02,4.74,1.36,0.43,0.08,0.04,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.073,268.88,74.87,8.52,41.7,0.0,0.0,0.27,1.32,3.15,8.32,12.86,15.51,15.78,14.07,24.06,3.03,0.97,0.39,0.19,0.04,0.04,0.0,0.0,0.0,0.0
3,1990,5.0,0.08199999999999999,271.46,78.45,5.05,41.75,0.0,0.0,0.43,1.44,3.69,7.54,12.32,14.38,15.66,13.1,27.94,2.1,0.62,0.47,0.23,0.04,0.04,0.0,0.0,0.0,0.0
4,1990,6.0,0.095,274.03,81.86,2.99,42.43,0.0,0.0,0.39,1.17,3.42,7.11,9.25,13.53,15.62,14.03,33.04,1.52,0.7,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.11699999999999999,276.71,87.1,1.62,44.36,0.0,0.0,0.27,0.58,2.18,4.43,7.38,10.26,13.84,14.38,45.39,0.97,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.135,279.22,89.61,1.29,45.45,0.0,0.0,0.19,0.51,1.48,4.08,4.97,9.06,12.09,13.76,52.97,0.74,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.153,281.8,91.01,1.12,46.07,0.0,0.0,0.12,0.27,1.44,3.07,4.47,7.46,11.54,13.37,57.48,0.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.174,284.55,93.43,0.87,47.15,0.0,0.04,0.04,0.23,1.05,2.1,3.42,5.32,8.36,12.13,66.5,0.7,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.19399999999999998,286.11,94.48,1.55,48.01,0.0,0.0,0.04,0.16,0.66,1.24,3.07,4.94,7.35,10.53,70.46,1.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.213,287.99,94.98,2.49,48.74,0.0,0.0,0.0,0.16,0.39,0.89,2.37,4.51,7.31,11.58,68.29,4.39,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
