,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.032,260.1,34.05,33.95,34.0,0.44,1.55,4.86,8.31,10.25,13.96,14.41,12.77,12.37,8.97,7.03,3.31,1.19,0.53,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.034,260.95,38.76,31.04,34.9,0.44,1.41,4.37,7.16,10.65,12.46,14.32,13.3,11.18,10.47,9.5,3.23,1.06,0.4,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.037000000000000005,262.2,43.45,29.0,36.23,0.18,0.71,3.45,6.23,9.68,12.33,13.43,14.14,13.08,11.89,9.19,3.67,1.63,0.31,0.09,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.043,265.0,50.51,22.64,36.57,0.04,0.57,2.43,5.88,8.93,11.84,14.58,16.79,13.35,10.78,9.41,3.36,1.46,0.44,0.13,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.054000000000000006,268.9,58.57,15.4,36.98,0.0,0.27,2.25,4.73,8.88,13.52,14.14,15.2,14.27,9.19,12.64,3.54,1.15,0.18,0.04,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.07200000000000001,273.18,67.87,9.47,38.67,0.0,0.04,1.46,4.24,7.34,11.8,14.05,13.12,12.51,10.3,20.81,3.76,0.4,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.08900000000000001,277.2,74.0,5.38,39.69,0.0,0.09,1.68,3.49,7.73,10.25,10.87,11.44,12.28,10.34,29.65,2.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.107,280.29,78.42,3.27,40.84,0.0,0.31,1.41,2.92,5.61,9.28,9.85,10.34,12.42,10.69,35.88,1.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.127,283.15,82.55,2.1,42.32,0.0,0.27,0.93,2.61,4.2,6.54,9.54,10.12,11.0,10.91,42.95,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.14400000000000002,285.39,83.49,2.5,42.99,0.0,0.09,0.62,1.68,3.45,6.85,8.66,11.62,11.36,11.71,42.51,1.37,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.163,287.57,85.03,4.58,44.81,0.0,0.0,0.04,0.75,2.03,4.86,8.44,11.36,13.35,12.81,41.36,4.77,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.179,288.99,84.21,10.49,47.35,0.0,0.0,0.0,0.04,0.97,2.87,6.58,11.44,13.12,15.07,31.77,14.85,2.96,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.195,290.15,81.22,13.75,47.49,0.0,0.0,0.0,0.04,0.66,2.87,6.36,11.49,15.78,16.22,25.19,16.35,4.51,0.49,0.04,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.21,290.43,76.83,20.63,48.73,0.0,0.0,0.0,0.0,0.22,1.68,5.57,11.44,15.6,17.68,19.84,17.94,8.22,1.72,0.04,0.04,0.0,0.0,0.0,0.0,0.0
