,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.081,268.63,35.03,19.14,27.09,0.84,3.91,11.45,16.39,18.81,14.99,11.17,7.08,4.0,2.89,3.91,2.98,1.49,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.08,269.13,33.27,20.09,26.68,1.12,4.0,10.8,17.04,21.04,13.97,10.8,6.52,3.82,2.98,4.38,1.58,1.68,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.087,270.65,37.61,15.9,26.75,0.84,4.0,7.82,17.78,20.95,16.01,11.55,7.26,4.28,2.51,4.84,2.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.098,272.82,44.32,8.98,26.65,0.93,2.98,9.87,14.06,21.51,19.27,10.99,6.98,3.91,2.89,6.52,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.114,275.41,53.36,3.73,28.54,0.47,1.4,5.03,11.36,21.14,22.72,15.46,7.45,4.56,2.79,7.54,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.127,277.2,58.96,2.98,30.97,0.0,1.21,2.51,6.52,17.32,23.84,19.74,11.27,5.77,3.63,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.136,278.28,61.0,3.89,32.45,0.0,0.93,1.4,5.31,12.57,20.76,23.28,16.11,8.38,3.72,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.14800000000000002,279.83,63.66,3.59,33.63,0.0,0.47,1.68,4.0,10.06,18.16,22.35,20.58,10.43,5.49,6.7,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.168,282.1,68.48,2.27,35.37,0.0,0.28,0.84,3.26,5.59,14.25,25.51,21.14,13.87,6.98,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.20199999999999999,284.81,76.55,1.29,38.92,0.0,0.0,0.47,0.47,2.14,8.29,18.81,27.09,18.44,9.59,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.23199999999999998,287.01,80.21,0.75,40.48,0.0,0.0,0.0,0.74,0.74,4.28,15.64,27.19,21.69,13.31,16.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.258,287.53,80.2,2.28,41.24,0.0,0.0,0.0,0.37,1.4,3.26,13.87,24.3,23.93,14.71,17.5,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.282,287.96,77.31,5.22,41.27,0.0,0.0,0.09,0.19,1.86,4.66,14.25,22.91,22.35,15.27,16.2,1.49,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.304,287.84,75.17,12.35,43.76,0.0,0.0,0.0,0.19,1.4,3.63,10.99,19.18,19.83,17.04,18.81,5.68,1.86,1.21,0.19,0.0,0.0,0.0,0.0,0.0,0.0
14,1990,16.0,0.33299999999999996,287.62,74.31,24.05,49.18,0.0,0.0,0.0,0.09,0.65,1.4,5.49,10.61,16.95,17.04,20.2,13.5,7.91,3.17,1.86,0.93,0.19,0.0,0.0,0.0,0.0
15,1990,17.0,0.368,288.18,73.62,32.4,53.01,0.0,0.0,0.0,0.09,0.37,0.93,3.26,6.42,12.38,15.08,20.76,16.11,10.24,7.45,3.35,2.14,0.93,0.47,0.0,0.0,0.0
16,1990,18.0,0.40399999999999997,289.17,74.88,34.13,54.5,0.0,0.0,0.0,0.28,0.19,1.21,3.26,5.59,9.96,13.31,17.97,17.6,13.31,7.64,5.12,2.79,0.93,0.28,0.56,0.0,0.0
17,1990,19.0,0.43200000000000005,289.92,73.75,33.9,53.83,0.0,0.0,0.19,0.37,0.47,1.77,3.17,5.96,10.99,12.01,18.06,16.76,13.31,9.31,3.45,2.51,1.02,0.47,0.19,0.0,0.0
18,1990,20.0,0.449,290.23,70.2,36.77,53.48,0.09,0.0,0.09,0.47,1.12,1.77,3.54,7.08,9.59,12.66,17.23,15.36,14.53,8.19,4.56,2.33,0.74,0.56,0.09,0.0,0.0
19,1990,21.0,0.46,290.31,65.28,42.51,53.89,0.0,0.09,0.37,0.37,1.12,2.61,4.56,5.77,8.94,11.73,16.11,15.83,12.48,9.96,5.96,2.05,1.02,0.84,0.19,0.0,0.0
20,1990,22.0,0.46399999999999997,290.4,58.49,47.15,52.82,0.09,0.37,0.37,0.93,1.4,3.91,4.38,6.89,8.85,11.82,14.15,15.36,12.57,9.12,4.47,3.17,1.4,0.28,0.47,0.0,0.0
21,1990,23.0,0.467,290.8,54.66,47.48,51.07,0.19,0.47,0.47,1.77,2.61,4.56,5.12,6.05,9.87,10.71,14.62,15.46,13.04,6.7,4.1,2.79,0.93,0.37,0.09,0.09,0.0
22,1990,24.0,0.48100000000000004,291.79,57.85,41.03,49.44,0.28,0.65,0.93,3.17,2.98,4.56,5.21,7.64,8.57,10.71,15.27,14.8,11.36,7.36,3.82,1.68,0.84,0.09,0.09,0.0,0.0
23,1990,25.0,0.49,292.91,59.84,32.64,46.24,0.37,2.05,1.86,3.45,4.28,4.75,6.33,8.19,9.68,11.92,15.55,12.2,10.34,5.21,2.61,0.93,0.19,0.09,0.0,0.0,0.0
24,1990,26.0,0.5,293.71,61.58,28.48,45.03,0.84,1.96,2.61,4.0,4.28,5.49,7.26,6.8,9.5,12.57,14.25,12.85,8.66,6.15,2.14,0.47,0.19,0.0,0.0,0.0,0.0
25,1990,27.0,0.505,294.18,60.54,28.91,44.73,0.47,2.51,3.35,3.91,4.66,6.7,5.49,7.26,8.85,12.29,15.18,11.82,8.19,5.49,2.42,1.12,0.19,0.09,0.0,0.0,0.0
26,1990,28.0,0.509,294.58,62.96,28.06,45.51,0.84,1.49,2.89,4.28,5.68,5.4,6.15,7.17,8.85,10.43,15.08,12.38,8.29,5.4,3.72,1.21,0.65,0.09,0.0,0.0,0.0
27,1990,29.0,0.507,294.77,63.63,27.69,45.66,1.12,1.58,1.58,4.28,5.68,6.8,5.96,7.54,9.03,10.06,13.69,11.64,9.4,5.4,3.63,1.96,0.56,0.09,0.0,0.0,0.0
28,1990,30.0,0.505,294.85,63.21,28.5,45.86,1.02,1.4,2.05,3.91,5.59,7.54,5.68,6.8,9.78,9.4,12.94,11.82,10.52,5.12,3.45,2.14,0.84,0.0,0.0,0.0,0.0
29,1990,31.0,0.503,295.02,63.79,26.82,45.31,1.4,1.86,1.77,4.66,5.21,6.24,7.64,5.87,9.03,10.8,13.41,11.08,9.12,6.42,3.26,1.49,0.47,0.28,0.0,0.0,0.0
30,1990,32.0,0.498,294.89,62.78,28.77,45.77,1.58,1.4,2.61,4.47,4.1,7.08,6.8,6.33,8.1,10.8,11.92,12.48,10.06,6.61,3.45,1.58,0.37,0.28,0.0,0.0,0.0
31,1990,33.0,0.486,294.13,58.64,36.11,47.37,1.49,1.3,2.23,4.0,4.1,5.59,7.45,6.05,8.57,8.75,11.73,11.17,12.01,7.73,4.19,2.51,0.65,0.47,0.0,0.0,0.0
32,1990,34.0,0.466,292.79,51.31,46.83,49.07,0.65,1.3,1.49,3.45,3.45,5.68,6.33,7.08,9.22,8.85,11.17,11.64,10.8,8.38,5.4,2.79,1.4,0.65,0.28,0.0,0.0
33,1990,35.0,0.431,290.84,40.92,59.83,50.38,0.09,0.47,0.84,1.49,2.89,5.96,6.8,7.17,9.87,10.99,11.45,12.66,12.38,7.73,4.56,2.51,1.49,0.37,0.09,0.19,0.0
34,1990,36.0,0.385,288.32,30.09,73.22,51.66,0.0,0.0,0.19,0.37,1.21,3.07,4.0,9.22,12.2,11.82,18.81,13.59,11.17,6.24,4.75,2.14,1.02,0.0,0.19,0.0,0.0
35,1990,37.0,0.35,286.2,25.67,77.86,51.76,0.0,0.0,0.09,0.19,1.02,1.21,4.1,8.29,11.55,13.04,22.72,13.78,12.2,6.33,2.98,1.86,0.56,0.09,0.0,0.0,0.0
36,1990,38.0,0.33,285.04,24.76,74.74,49.75,0.0,0.0,0.0,0.47,1.02,2.79,5.77,9.59,12.29,14.99,21.79,14.53,7.36,5.77,2.14,1.02,0.28,0.19,0.0,0.0,0.0
37,1990,39.0,0.324,284.67,29.33,62.07,45.7,0.0,0.0,0.0,0.47,1.77,4.1,9.59,14.62,17.32,18.99,13.97,10.34,4.93,2.05,1.3,0.19,0.19,0.19,0.0,0.0,0.0
38,1990,40.0,0.319,284.16,35.73,49.71,42.72,0.0,0.0,0.09,0.37,1.77,6.7,11.55,18.99,22.72,17.13,10.99,4.56,2.98,1.4,0.37,0.19,0.09,0.09,0.0,0.0,0.0
39,1990,41.0,0.306,283.49,41.41,37.97,39.69,0.0,0.0,0.0,1.21,3.17,9.31,15.08,23.18,21.97,14.99,6.8,2.79,0.74,0.47,0.0,0.19,0.09,0.0,0.0,0.0,0.0
40,1990,42.0,0.278,282.15,42.29,34.54,38.42,0.0,0.0,0.19,0.84,3.17,10.8,19.65,25.61,18.44,13.69,5.03,1.77,0.56,0.19,0.0,0.09,0.0,0.0,0.0,0.0,0.0
41,1990,43.0,0.237,280.19,37.91,38.77,38.34,0.0,0.0,0.09,0.47,1.58,9.87,23.84,24.86,20.02,12.38,4.47,1.68,0.56,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1990,44.0,0.187,277.91,28.37,43.6,35.98,0.0,0.0,0.0,0.84,6.42,16.85,25.42,20.86,16.57,8.19,2.79,1.86,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1990,45.0,0.153,276.07,22.06,41.24,31.65,0.0,0.0,0.74,5.87,16.95,23.18,21.51,14.25,10.34,3.91,2.7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1990,46.0,0.131,274.54,22.51,34.25,28.38,0.0,0.37,3.35,12.76,21.6,23.74,16.95,9.96,7.08,2.33,1.68,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
