,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.065,266.86,60.98,19.65,40.31,0.0,0.0,0.14,1.6,4.57,10.03,14.36,21.52,15.35,11.49,12.9,5.74,1.65,0.47,0.09,0.09,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.071,268.03,68.23,15.97,42.1,0.0,0.0,0.09,0.61,3.3,7.58,13.42,17.94,17.23,11.77,19.54,6.03,1.65,0.61,0.19,0.05,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.076,269.7,73.08,13.36,43.22,0.0,0.0,0.0,0.33,2.21,6.45,12.24,16.9,15.02,13.79,24.53,5.56,2.02,0.66,0.24,0.05,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.085,272.2,77.6,9.13,43.36,0.0,0.0,0.0,0.33,2.17,6.31,12.01,14.74,14.83,13.04,30.04,4.57,1.41,0.42,0.14,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.1,274.86,82.17,5.67,43.92,0.0,0.0,0.05,0.28,1.6,4.71,11.02,14.03,13.89,12.05,38.94,2.54,0.75,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.12300000000000001,277.67,87.74,3.76,45.75,0.0,0.0,0.0,0.28,0.99,3.39,6.03,10.64,12.57,11.96,51.55,2.07,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.145,280.56,91.12,2.8,46.96,0.0,0.0,0.0,0.19,0.8,2.07,4.8,7.39,9.42,12.15,60.78,2.17,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.166,283.05,92.89,2.38,47.64,0.0,0.0,0.0,0.24,0.56,1.6,3.34,6.03,8.57,11.25,65.96,2.31,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.193,286.01,95.31,1.62,48.47,0.0,0.0,0.0,0.05,0.38,1.04,2.4,3.48,6.17,9.84,75.0,1.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.217,287.97,96.43,1.73,49.08,0.0,0.0,0.0,0.05,0.24,0.94,1.32,2.92,5.18,8.29,78.91,2.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.23800000000000002,289.63,97.01,3.39,50.2,0.0,0.0,0.0,0.0,0.33,0.47,1.27,1.55,4.19,8.1,75.89,7.67,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.256,291.02,96.75,8.63,52.69,0.0,0.0,0.0,0.0,0.19,0.47,0.89,1.32,3.58,6.97,54.0,25.38,6.78,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.27399999999999997,292.22,95.42,12.0,53.71,0.0,0.0,0.0,0.0,0.14,0.61,0.66,1.41,4.05,8.99,41.05,31.12,10.69,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.29,292.93,92.81,17.15,54.98,0.0,0.0,0.0,0.0,0.14,0.52,0.71,1.51,4.33,10.73,25.85,34.23,19.11,2.73,0.14,0.0,0.0,0.0,0.0,0.0,0.0
14,1990,16.0,0.307,293.27,89.74,25.71,57.73,0.0,0.0,0.0,0.0,0.09,0.28,0.75,0.94,3.72,9.51,16.29,25.38,28.25,12.48,2.02,0.24,0.05,0.0,0.0,0.0,0.0
15,1990,17.0,0.33,294.14,87.98,35.35,61.67,0.0,0.0,0.0,0.0,0.05,0.09,0.66,0.85,2.31,5.65,11.58,16.85,23.78,22.18,11.91,3.15,0.61,0.24,0.0,0.09,0.0
16,1990,18.0,0.35200000000000004,295.39,87.06,46.05,66.56,0.0,0.0,0.0,0.0,0.0,0.24,0.38,0.94,1.69,3.81,7.06,11.35,15.73,20.01,17.33,12.99,5.23,1.84,0.71,0.47,0.24
17,1990,19.0,0.36700000000000005,296.46,84.34,55.93,70.13,0.0,0.0,0.0,0.0,0.0,0.19,0.42,0.99,1.84,2.97,5.6,8.71,11.72,14.12,16.53,15.49,10.69,5.65,2.78,1.65,0.66
18,1990,20.0,0.375,297.55,79.4,58.17,68.78,0.0,0.0,0.0,0.0,0.0,0.38,0.52,1.46,1.79,4.0,7.49,8.57,12.24,15.44,15.02,12.95,10.17,5.37,3.25,0.99,0.38
19,1990,21.0,0.368,298.11,70.88,63.19,67.04,0.0,0.0,0.0,0.0,0.09,0.38,0.94,1.32,3.06,6.36,7.86,9.65,13.18,13.79,13.28,11.91,9.04,5.51,2.54,0.8,0.28
20,1990,22.0,0.355,298.77,59.66,64.77,62.22,0.0,0.0,0.0,0.0,0.14,0.56,1.46,2.68,5.41,8.85,10.73,12.34,14.6,14.36,12.05,8.15,4.66,2.73,0.8,0.42,0.05
21,1990,23.0,0.342,299.62,50.38,61.63,56.01,0.0,0.0,0.0,0.14,0.56,1.13,2.5,4.9,9.6,12.71,14.27,17.47,12.81,11.06,6.73,3.58,1.6,0.66,0.19,0.09,0.0
22,1990,24.0,0.32799999999999996,300.07,43.87,62.99,53.43,0.0,0.0,0.0,0.14,0.89,1.79,3.53,7.3,11.49,14.22,15.58,14.36,13.47,8.76,4.61,2.54,0.85,0.38,0.05,0.05,0.0
23,1990,25.0,0.318,300.92,39.91,61.23,50.57,0.0,0.0,0.0,0.61,1.46,3.3,5.98,9.04,12.48,14.6,16.29,12.43,11.53,6.26,4.0,1.46,0.38,0.19,0.0,0.0,0.0
24,1990,26.0,0.309,301.78,36.38,57.45,46.92,0.0,0.0,0.33,1.08,3.06,5.46,7.82,11.72,14.6,14.03,15.21,10.83,8.66,4.19,2.07,0.61,0.33,0.0,0.0,0.0,0.0
25,1990,27.0,0.295,302.32,31.67,54.78,43.23,0.0,0.09,0.71,2.07,5.08,7.86,9.84,14.31,14.74,14.41,12.95,9.04,5.41,2.26,0.85,0.24,0.09,0.0,0.05,0.0,0.0
26,1990,28.0,0.28,302.73,28.72,50.66,39.69,0.09,0.24,1.65,3.67,6.64,9.27,14.03,15.21,15.3,13.47,9.93,5.84,2.64,1.46,0.38,0.09,0.09,0.0,0.0,0.0,0.0
27,1990,29.0,0.264,302.83,25.46,49.04,37.25,0.14,0.38,2.21,5.08,8.99,12.1,14.36,15.11,15.77,10.92,7.77,3.72,2.31,0.71,0.28,0.14,0.0,0.0,0.0,0.0,0.0
28,1990,30.0,0.249,303.06,23.62,46.13,34.87,0.14,0.56,2.97,6.59,12.34,13.42,14.92,16.05,13.23,8.24,6.69,2.78,1.32,0.61,0.05,0.09,0.0,0.0,0.0,0.0,0.0
