,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.14,272.33,77.9,8.06,42.98,0.0,0.0,0.26,0.17,1.81,3.79,10.08,18.17,22.65,18.43,18.09,5.86,0.52,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.14400000000000002,272.95,82.17,6.24,44.21,0.0,0.0,0.52,0.34,1.81,3.36,6.55,14.3,21.45,19.55,26.96,4.22,0.86,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.153,274.14,85.67,4.14,44.9,0.0,0.09,0.43,0.69,1.38,3.96,5.34,10.68,18.35,20.5,34.28,3.7,0.52,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.16399999999999998,275.8,85.51,1.81,43.66,0.0,0.17,0.34,1.46,1.29,4.48,6.98,11.46,19.29,20.24,32.9,1.29,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.17800000000000002,277.34,84.58,0.96,42.77,0.09,0.34,0.17,2.07,1.29,3.45,7.75,15.5,19.29,21.1,28.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.188,278.66,82.95,0.66,41.8,0.0,0.43,0.26,1.81,2.15,3.36,8.87,17.14,23.77,21.02,21.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.195,279.99,81.79,0.81,41.3,0.0,0.34,0.6,1.38,2.5,4.22,8.7,19.72,24.38,21.45,16.45,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.20600000000000002,281.53,81.86,0.79,41.32,0.0,0.09,0.69,1.29,3.01,4.05,7.75,19.64,26.36,22.91,13.95,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.22399999999999998,283.31,85.23,0.6,42.92,0.0,0.0,0.43,0.6,1.64,3.01,5.51,17.23,25.84,25.84,19.72,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.24600000000000002,284.89,88.68,0.72,44.7,0.0,0.0,0.09,0.26,0.6,1.55,3.45,14.13,25.32,23.17,31.18,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.267,286.6,91.11,0.46,45.79,0.0,0.0,0.0,0.17,0.52,0.69,2.5,10.16,22.39,25.67,37.64,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.282,286.95,90.53,2.15,46.34,0.0,0.0,0.0,0.09,0.69,1.21,2.67,7.92,21.71,27.82,33.85,3.53,0.34,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.29600000000000004,287.06,88.06,5.84,46.95,0.0,0.0,0.0,0.0,0.6,1.21,3.7,9.73,19.98,26.44,27.99,7.06,2.76,0.43,0.09,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.309,286.89,84.18,13.71,48.95,0.0,0.0,0.0,0.0,0.26,1.29,4.05,8.18,17.31,22.05,23.34,14.73,6.12,2.33,0.26,0.09,0.0,0.0,0.0,0.0,0.0
14,1990,16.0,0.32299999999999995,286.39,78.5,30.01,54.26,0.0,0.0,0.0,0.0,0.0,1.03,1.89,4.65,9.56,14.21,19.29,21.79,13.95,9.39,3.27,0.78,0.17,0.0,0.0,0.0,0.0
15,1990,17.0,0.34700000000000003,286.68,74.86,41.57,58.22,0.0,0.0,0.0,0.0,0.34,0.6,1.29,2.58,6.55,9.91,16.71,18.35,16.37,12.92,9.04,3.62,1.46,0.17,0.09,0.0,0.0
16,1990,18.0,0.376,287.52,74.6,46.43,60.52,0.0,0.0,0.0,0.09,0.26,0.95,1.81,2.84,5.08,8.53,12.75,15.93,14.56,13.61,10.68,7.58,3.7,1.46,0.09,0.09,0.0
17,1990,19.0,0.396,288.17,71.43,50.27,60.85,0.0,0.0,0.0,0.09,0.17,1.21,1.12,3.96,5.68,8.96,12.83,14.21,11.89,11.8,11.71,9.39,4.48,2.15,0.26,0.09,0.0
18,1990,20.0,0.40700000000000003,288.55,66.9,56.02,61.46,0.0,0.0,0.0,0.0,0.0,0.6,1.72,2.84,5.68,9.82,13.09,12.23,13.44,12.58,10.34,9.73,5.0,2.07,0.69,0.17,0.0
19,1990,21.0,0.41100000000000003,288.6,60.16,64.67,62.42,0.0,0.0,0.0,0.0,0.09,0.09,1.12,2.5,5.51,7.32,12.4,13.87,15.33,12.49,11.63,8.79,6.2,1.38,1.12,0.17,0.0
20,1990,22.0,0.41,288.72,51.71,68.01,59.86,0.0,0.0,0.0,0.0,0.0,0.26,1.21,3.88,6.29,8.35,13.26,17.92,15.85,13.52,9.13,5.6,2.67,1.29,0.6,0.17,0.0
21,1990,23.0,0.41100000000000003,289.31,47.3,65.14,56.22,0.0,0.0,0.0,0.0,0.0,0.43,1.81,4.31,8.96,12.66,17.66,18.35,16.37,9.22,4.65,3.45,0.95,0.78,0.43,0.0,0.0
22,1990,24.0,0.423,290.38,48.43,58.3,53.37,0.0,0.0,0.0,0.0,0.17,0.52,2.58,5.68,11.37,15.76,21.53,18.17,12.66,5.6,3.7,1.03,0.86,0.26,0.09,0.0,0.0
23,1990,25.0,0.435,291.68,49.7,47.13,48.42,0.09,0.0,0.0,0.09,0.6,2.33,6.29,10.16,15.68,22.31,19.29,11.46,5.86,3.45,1.21,0.86,0.26,0.0,0.09,0.0,0.0
24,1990,26.0,0.444,292.53,50.2,41.28,45.74,0.17,0.09,0.17,1.38,1.55,4.31,8.27,12.92,17.23,20.5,15.07,8.79,4.57,2.84,1.12,0.78,0.09,0.17,0.0,0.0,0.0
25,1990,27.0,0.449,292.98,49.1,41.73,45.42,0.26,0.26,1.38,1.46,2.84,4.39,7.58,11.63,17.23,17.92,13.7,10.08,5.68,3.1,1.12,1.03,0.09,0.26,0.0,0.0,0.0
26,1990,28.0,0.45299999999999996,293.36,51.65,40.75,46.2,0.34,0.69,1.72,2.33,3.36,4.31,5.17,10.77,13.95,17.31,13.95,11.37,7.41,3.88,1.98,0.86,0.34,0.17,0.09,0.0,0.0
27,1990,29.0,0.449,293.44,51.35,41.68,46.52,0.43,1.38,1.64,2.24,4.13,4.57,5.51,8.27,13.95,14.13,15.25,10.16,8.87,5.0,2.93,0.69,0.6,0.09,0.17,0.0,0.0
28,1990,30.0,0.444,293.65,50.69,40.62,45.65,0.34,2.15,1.81,2.58,4.05,4.65,7.24,10.16,10.85,12.83,15.76,10.25,8.1,5.43,2.41,0.52,0.6,0.09,0.17,0.0,0.0
