,Year,Week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1990,2.0,0.081,267.84,61.86,11.07,36.47,0.04,0.04,1.18,4.8,9.48,13.52,15.84,16.81,14.49,10.36,10.19,2.44,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990,3.0,0.086,268.72,65.17,8.09,36.63,0.04,0.25,0.67,4.13,9.69,13.23,15.67,17.73,14.15,9.98,12.3,1.98,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990,4.0,0.092,270.17,69.84,5.25,37.54,0.0,0.17,0.8,2.82,8.42,13.44,14.91,15.88,14.28,9.98,18.79,0.46,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,5.0,0.10099999999999999,272.08,73.43,3.95,38.69,0.0,0.13,0.55,2.36,6.19,11.92,14.36,17.48,13.77,9.6,22.83,0.72,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1990,6.0,0.11199999999999999,274.08,74.91,3.22,39.07,0.0,0.08,0.63,1.73,5.14,10.87,16.09,17.65,13.77,11.54,22.03,0.38,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1990,7.0,0.129,275.51,78.66,3.1,40.88,0.0,0.04,0.51,1.01,3.29,7.2,13.27,18.03,17.35,13.14,25.4,0.55,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1990,8.0,0.14800000000000002,277.22,82.8,2.31,42.56,0.0,0.08,0.21,1.05,1.81,5.05,9.9,16.01,18.74,16.39,29.99,0.67,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1990,9.0,0.16899999999999998,279.16,86.72,1.69,44.2,0.0,0.08,0.25,0.67,1.64,2.82,7.5,11.88,18.37,18.24,37.7,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1990,10.0,0.19,281.35,90.55,0.83,45.69,0.0,0.08,0.13,0.67,1.01,2.7,3.88,9.56,13.18,17.44,51.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1990,11.0,0.207,282.32,90.91,1.9,46.41,0.0,0.0,0.21,0.59,1.1,2.23,4.3,7.71,11.67,16.05,54.47,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1990,12.0,0.222,284.99,90.4,1.8,46.1,0.0,0.0,0.21,0.63,1.31,2.74,5.1,8.68,10.87,15.12,52.99,2.23,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1990,13.0,0.22899999999999998,286.91,87.1,2.37,44.74,0.0,0.0,0.42,1.05,1.47,3.71,7.88,10.28,13.02,16.26,43.3,2.4,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1990,14.0,0.23600000000000002,287.87,81.75,5.18,43.46,0.0,0.08,0.55,1.01,2.49,5.64,10.07,12.3,14.95,16.43,31.17,4.8,0.46,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1990,15.0,0.248,288.38,75.16,16.1,45.63,0.0,0.0,0.25,1.14,2.57,4.89,7.29,12.05,16.51,15.59,20.01,13.35,4.59,1.39,0.25,0.13,0.0,0.0,0.0,0.0,0.0
